2014-07-22 22:50:17 startup archives install
2014-07-22 22:50:17 install base-passwd:arm64 <none> 3.5.33
2014-07-22 22:50:17 status half-installed base-passwd:arm64 3.5.33
2014-07-22 22:50:17 status unpacked base-passwd:arm64 3.5.33
2014-07-22 22:50:17 status unpacked base-passwd:arm64 3.5.33
2014-07-22 22:50:17 configure base-passwd:arm64 3.5.33 3.5.33
2014-07-22 22:50:17 status unpacked base-passwd:arm64 3.5.33
2014-07-22 22:50:17 status half-configured base-passwd:arm64 3.5.33
2014-07-22 22:50:18 status installed base-passwd:arm64 3.5.33
2014-07-22 22:50:18 startup archives install
2014-07-22 22:50:18 install base-files:arm64 <none> 7.2ubuntu5
2014-07-22 22:50:18 status half-installed base-files:arm64 7.2ubuntu5
2014-07-22 22:50:18 status unpacked base-files:arm64 7.2ubuntu5
2014-07-22 22:50:18 status unpacked base-files:arm64 7.2ubuntu5
2014-07-22 22:50:18 configure base-files:arm64 7.2ubuntu5 7.2ubuntu5
2014-07-22 22:50:18 status unpacked base-files:arm64 7.2ubuntu5
2014-07-22 22:50:18 status unpacked base-files:arm64 7.2ubuntu5
2014-07-22 22:50:19 status unpacked base-files:arm64 7.2ubuntu5
2014-07-22 22:50:19 status unpacked base-files:arm64 7.2ubuntu5
2014-07-22 22:50:19 status unpacked base-files:arm64 7.2ubuntu5
2014-07-22 22:50:19 status unpacked base-files:arm64 7.2ubuntu5
2014-07-22 22:50:19 status unpacked base-files:arm64 7.2ubuntu5
2014-07-22 22:50:19 status unpacked base-files:arm64 7.2ubuntu5
2014-07-22 22:50:19 status unpacked base-files:arm64 7.2ubuntu5
2014-07-22 22:50:19 status unpacked base-files:arm64 7.2ubuntu5
2014-07-22 22:50:19 status unpacked base-files:arm64 7.2ubuntu5
2014-07-22 22:50:19 status unpacked base-files:arm64 7.2ubuntu5
2014-07-22 22:50:19 status half-configured base-files:arm64 7.2ubuntu5
2014-07-22 22:50:19 status installed base-files:arm64 7.2ubuntu5
2014-07-22 22:50:19 startup archives install
2014-07-22 22:50:20 upgrade dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2014-07-22 22:50:20 status half-configured dpkg 1.17.5ubuntu5
2014-07-22 22:50:20 status unpacked dpkg 1.17.5ubuntu5
2014-07-22 22:50:20 status half-installed dpkg 1.17.5ubuntu5
2014-07-22 22:50:20 status half-installed dpkg 1.17.5ubuntu5
2014-07-22 22:50:20 status unpacked dpkg 1.17.5ubuntu5
2014-07-22 22:50:20 status unpacked dpkg 1.17.5ubuntu5
2014-07-22 22:50:20 configure dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2014-07-22 22:50:20 status unpacked dpkg 1.17.5ubuntu5
2014-07-22 22:50:20 status unpacked dpkg 1.17.5ubuntu5
2014-07-22 22:50:20 status unpacked dpkg 1.17.5ubuntu5
2014-07-22 22:50:20 status unpacked dpkg 1.17.5ubuntu5
2014-07-22 22:50:21 status unpacked dpkg 1.17.5ubuntu5
